Node_ID,gap_start,gap_end,elapsed_minutes,nominal_interval_minutes,approx_missing_readings
5,3/13/2022 5:13,3/13/2022 5:53,40,20,1
5,3/13/2022 9:32,3/13/2022 10:32,60,20,2
5,3/13/2022 19:29,3/13/2022 22:08,159,20,7
5,3/14/2022 11:25,3/14/2022 12:04,39,20,1
5,3/15/2022 15:17,3/15/2022 15:57,40,20,1
5,3/16/2022 0:14,3/16/2022 0:54,40,20,1
5,3/16/2022 1:54,3/16/2022 2:34,40,20,1
5,3/16/2022 3:33,3/16/2022 4:13,40,20,1
5,3/16/2022 5:13,3/16/2022 5:53,40,20,1
5,3/16/2022 7:12,3/16/2022 7:52,40,20,1
5,3/16/2022 11:51,3/16/2022 12:31,40,20,1
5,3/16/2022 15:50,3/16/2022 16:30,40,20,1
5,3/16/2022 22:09,3/16/2022 22:48,39,20,1
5,3/17/2022 1:47,3/17/2022 2:27,40,20,1
5,3/17/2022 5:46,3/17/2022 6:26,40,20,1
5,3/17/2022 8:25,3/17/2022 9:05,40,20,1
5,3/17/2022 10:45,3/17/2022 11:25,40,20,1
5,3/17/2022 11:25,3/17/2022 12:05,40,20,1
5,3/18/2022 18:56,3/18/2022 19:36,40,20,1
5,3/18/2022 22:15,3/19/2022 1:54,219,20,10
5,3/19/2022 9:52,3/19/2022 10:32,40,20,1
5,3/19/2022 11:31,3/19/2022 13:51,140,20,6
5,3/19/2022 13:51,3/19/2022 22:28,517,20,25
5,3/20/2022 12:04,3/20/2022 22:02,598,20,29
5,3/22/2022 21:49,3/22/2022 22:28,39,20,1
5,3/22/2022 23:28,3/23/2022 0:08,40,20,1
5,3/23/2022 0:28,3/23/2022 1:07,39,20,1
5,3/24/2022 6:19,3/24/2022 6:59,40,20,1
5,3/24/2022 12:58,3/24/2022 13:38,40,20,1
5,3/25/2022 4:13,3/25/2022 4:53,40,20,1
5,3/25/2022 15:30,3/25/2022 16:10,40,20,1
5,3/25/2022 16:30,3/25/2022 17:10,40,20,1
5,3/25/2022 18:30,3/25/2022 19:09,39,20,1
5,3/27/2022 11:58,3/27/2022 21:35,577,20,28
5,3/28/2022 7:52,3/28/2022 8:32,40,20,1
5,3/29/2022 4:27,3/29/2022 5:06,39,20,1
5,3/29/2022 7:26,3/29/2022 8:05,39,20,1
5,3/29/2022 9:05,3/29/2022 9:45,40,20,1
5,3/30/2022 5:00,3/30/2022 5:40,40,20,1
5,3/30/2022 14:37,3/30/2022 15:17,40,20,1
5,3/30/2022 16:56,3/30/2022 17:36,40,20,1
5,3/30/2022 18:16,3/30/2022 19:16,60,20,2
5,3/30/2022 22:15,3/30/2022 22:55,40,20,1
6,3/9/2022 16:45,3/9/2022 17:25,40,20,1
6,3/9/2022 19:44,3/9/2022 20:24,40,20,1
6,3/10/2022 0:43,3/10/2022 3:02,139,20,6
6,3/10/2022 12:00,3/10/2022 12:40,40,20,1
6,3/11/2022 0:37,3/11/2022 1:17,40,20,1
6,3/11/2022 1:17,3/11/2022 1:57,40,20,1
6,3/11/2022 9:35,3/11/2022 10:15,40,20,1
6,3/11/2022 11:15,3/11/2022 22:12,657,20,32
6,3/12/2022 1:31,3/12/2022 2:11,40,20,1
6,3/12/2022 6:30,3/12/2022 22:26,956,20,47
6,3/12/2022 23:46,3/13/2022 0:26,40,20,1
6,3/13/2022 1:05,3/13/2022 1:45,40,20,1
6,3/13/2022 2:05,3/13/2022 3:45,100,20,4
6,3/13/2022 4:45,3/13/2022 5:24,39,20,1
6,3/13/2022 5:44,3/13/2022 6:24,40,20,1
6,3/13/2022 6:24,3/13/2022 7:44,80,20,3
6,3/13/2022 8:43,3/13/2022 10:43,120,20,5
6,3/13/2022 19:41,3/13/2022 22:20,159,20,7
6,3/14/2022 4:19,3/14/2022 4:59,40,20,1
6,3/14/2022 12:17,3/14/2022 12:57,40,20,1
6,3/15/2022 15:31,3/15/2022 16:11,40,20,1
6,3/15/2022 16:11,3/15/2022 16:50,39,20,1
6,3/16/2022 2:28,3/16/2022 3:08,40,20,1
6,3/16/2022 6:27,3/16/2022 7:07,40,20,1
6,3/17/2022 7:41,3/17/2022 8:21,40,20,1
6,3/18/2022 0:57,3/18/2022 1:37,40,20,1
6,3/18/2022 2:56,3/18/2022 3:36,40,20,1
6,3/18/2022 20:53,3/18/2022 21:32,39,20,1
6,3/18/2022 22:12,3/19/2022 2:11,239,20,11
6,3/19/2022 2:11,3/19/2022 2:51,40,20,1
6,3/19/2022 4:11,3/19/2022 4:50,39,20,1
6,3/19/2022 6:30,3/19/2022 7:10,40,20,1
6,3/19/2022 11:49,3/19/2022 13:48,119,20,5
6,3/19/2022 13:48,3/19/2022 22:26,518,20,25
6,3/19/2022 22:26,3/19/2022 23:06,40,20,1
6,3/19/2022 23:26,3/20/2022 0:26,60,20,2
6,3/20/2022 0:46,3/20/2022 2:05,79,20,3
6,3/20/2022 3:05,3/20/2022 3:45,40,20,1
6,3/20/2022 3:45,3/20/2022 4:25,40,20,1
6,3/20/2022 4:25,3/20/2022 5:24,59,20,2
6,3/20/2022 6:44,3/20/2022 7:44,60,20,2
6,3/20/2022 7:44,3/20/2022 8:44,60,20,2
6,3/20/2022 10:03,3/20/2022 11:03,60,20,2
6,3/20/2022 12:03,3/20/2022 22:01,598,20,29
6,3/21/2022 7:18,3/21/2022 7:58,40,20,1
6,3/21/2022 10:37,3/21/2022 11:17,40,20,1
6,3/21/2022 11:17,3/21/2022 11:57,40,20,1
6,3/21/2022 12:17,3/21/2022 12:57,40,20,1
6,3/21/2022 15:17,3/21/2022 16:16,59,20,2
6,3/21/2022 17:56,3/21/2022 18:36,40,20,1
6,3/21/2022 20:55,3/21/2022 21:35,40,20,1
6,3/21/2022 21:55,3/21/2022 22:35,40,20,1
6,3/22/2022 6:13,3/22/2022 7:13,60,20,2
6,3/22/2022 13:11,3/22/2022 13:51,40,20,1
6,3/22/2022 14:31,3/22/2022 15:31,60,20,2
6,3/22/2022 21:29,3/22/2022 22:09,40,20,1
6,3/23/2022 4:28,3/23/2022 5:07,39,20,1
6,3/23/2022 5:47,3/23/2022 6:27,40,20,1
6,3/23/2022 7:07,3/23/2022 7:47,40,20,1
6,3/23/2022 8:47,3/23/2022 9:26,39,20,1
6,3/23/2022 11:46,3/23/2022 12:26,40,20,1
6,3/23/2022 12:26,3/23/2022 13:06,40,20,1
